folder,file,out_file,img_w_px,img_h_px,px_per_m_x,px_per_m_y,px_per_m_used,crop_side_px_requested,crop_side_px_used,approx_ground_side_m,height_m,focal_mm_default,focal_mm_used,sensor_w_mm,sensor_h_mm
Nikon COOLPIX AW120,DSCN8947.JPG,DSCN8947_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8948.JPG,DSCN8948_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8949.JPG,DSCN8949_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8950.JPG,DSCN8950_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8951.JPG,DSCN8951_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8952.JPG,DSCN8952_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8953.JPG,DSCN8953_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8954.JPG,DSCN8954_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8955.JPG,DSCN8955_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8956.JPG,DSCN8956_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8958.JPG,DSCN8958_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8959.JPG,DSCN8959_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
