lat,lon,ele_m,time,x_east_m,y_north_m,r_radial_m
43.325092,-116.414421,891.1,2025-09-19 18:06:46+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:47+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:48+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:49+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:50+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:51+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:52+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:53+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:54+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:55+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:56+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:06:57+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:06:58+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:06:59+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:00+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:01+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:02+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:03+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:04+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:05+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:06+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:07+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:08+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:09+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:10+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:11+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:12+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:13+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:14+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:15+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:16+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:17+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:18+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:19+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:20+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:21+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:22+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:23+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.0,2025-09-19 18:07:24+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:25+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:26+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:27+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:28+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:29+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:30+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:31+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:32+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:33+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:34+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:35+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:36+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:37+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:38+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:39+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:40+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:41+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:42+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.9,2025-09-19 18:07:43+00:00,0.0,0.0,0.0
